# Nikon maker-note lens identities.
# Key: LibRaw makernotes.LensID, the eight composite bytes as hex.
# One row per candidate name; a repeated key is ambiguous.
# Generated from ExifTool's published tag documentation; see nikon.provenance.json.
1148445C24240800	AF Zoom-Nikkor 35-70mm f/2.8
1148445C24241500	AF Zoom-Nikkor 35-70mm f/2.8
12365C81353D0900	Cosina AF Zoom 70-210mm F4.5-5.6 MC Macro
1236699735420900	Soligor AF Zoom 100-400mm 1:4.5-6.7 MC
1238699735420902	Promaster Spectrum 7 100-400mm F4.5-6.7
12395C8E343D0802	Cosina AF Zoom 70-300mm F4.5-5.6 MC Macro
123B688D3D430902	Cosina AF Zoom 100-300mm F5.6-6.7 MC Macro
123B98983D3D0900	Tokina AT-X 400 AF SD (AF 400mm f/5.6)
123D3C802E3CDF02	Tamron AF 28-200mm f/3.8-5.6 AF Aspherical LD (IF) (271D)
12445E8E343C0900	Tokina AF 730 (AF 75-300mm F4.5-5.6)
12485C81303C0900	AF Nikkor 70-210mm f/4-5.6
124A5C81313D0900	Soligor AF C/D Auto Zoom+Macro 70-210mm 1:4-5.6 UMCS
134237502A340B00	AF Zoom-Nikkor 24-50mm f/3.3-4.5
1448608024240B00	AF Zoom-Nikkor 80-200mm f/2.8 ED
1448688E30300B00	Tokina AT-X 340 AF (AF 100-300mm f/4)
1454608024240B00	Tokina AT-X 828 AF (AF 80-200mm f/2.8)
154C626214140C00	AF Nikkor 85mm f/1.8
173CA0A030300F00	Nikkor 500mm f/4 P ED IF
173CA0A030301100	Nikkor 500mm f/4 P ED IF
184044722C340E00	AF Zoom-Nikkor 35-135mm f/3.5-4.5 N
1A54444418181100	AF Nikkor 35mm f/2
1B445E8E343C1000	AF Zoom-Nikkor 75-300mm f/4.5-5.6
1C48303024241200	AF Nikkor 20mm f/2.8
1D42445C2A341200	AF Zoom-Nikkor 35-70mm f/3.3-4.5 N
1E54565624241300	AF Micro-Nikkor 60mm f/2.8
1E5D646420201300	Tamron SP AF 90mm f/2.5 (52E)
1F546A6A24241400	AF Micro-Nikkor 105mm f/2.8
203C80983D3D1E02	Tamron AF 200-400mm f/5.6 LD IF (75D)
2048608024241500	AF Zoom-Nikkor 80-200mm f/2.8 ED
205A646420201400	Tamron SP AF 90mm f/2.5 Macro (152E)
21403C5C2C341600	AF Zoom-Nikkor 28-70mm f/3.5-4.5
21568E8E24241400	Tamron SP AF 300mm f/2.8 LD-IF (60E)
2248727218181600	AF DC-Nikkor 135mm f/2
225364642424E002	Tamron SP AF 90mm f/2.8 Macro 1:1 (72E)
2330BECA3C481700	Zoom-Nikkor 1200-1700mm f/5.6-8 P ED IF
24446098343C1A02	Tokina AT-X 840 AF-II (AF 80-400mm f/4.5-5.6)
2448608024241A02	AF Zoom-Nikkor 80-200mm f/2.8D ED
2454608024241A02	Tokina AT-X 828 AF PRO (AF 80-200mm f/2.8)
2544448E34421B02	Tokina AF 353 (AF 35-300mm f/4.5-6.7)
25483C5C24241B02	Tokina AT-X 270 AF PRO II (AF 28-70mm f/2.6-2.8)
25483C5C24241B02	Tokina AT-X 287 AF PRO SV (AF 28-70mm f/2.8)
2548445C24241B02	AF Zoom-Nikkor 35-70mm f/2.8D
2548445C24243A02	AF Zoom-Nikkor 35-70mm f/2.8D
2548445C24245202	AF Zoom-Nikkor 35-70mm f/2.8D
263C5480303C1C06	Sigma 55-200mm F4-5.6 DC
263C5C82303C1C02	Sigma 70-210mm F4-5.6 UC-II
263C5C8E303C1C02	Sigma 70-300mm F4-5.6 DG Macro
263C98983C3C1C02	Sigma APO Tele Macro 400mm F5.6
263D3C802F3D1C02	Sigma 28-300mm F3.8-5.6 Aspherical
263E3C6A2E3C1C02	Sigma 28-105mm F3.8-5.6 UC-III Aspherical IF
2640273F2C341C02	Sigma 15-30mm F3.5-4.5 EX DG Aspherical DF
26402D442B341C02	Sigma 18-35mm F3.5-4.5 Aspherical
26402D502C3C1C06	Sigma 18-50mm F3.5-5.6 DC
26402D702B3C1C06	Sigma 18-125mm F3.5-5.6 DC
26402D802C401C06	Sigma 18-200mm F3.5-6.3 DC
2640375C2C3C1C02	Sigma 24-70mm F3.5-5.6 Aspherical HF
26403C5C2C341C02	AF Zoom-Nikkor 28-70mm f/3.5-4.5D
